Region,bloodyMary,moscowMule,year
Tennessee,0.89,0.11,2013
California,0.69,0.31,2013
New York,0.84,0.16,2013
Idaho,0.86,0.14,2013
North Carolina,0.9,0.1,2013
Pennsylvania,0.83,0.17,2013
Massachusetts,0.81,0.19,2013
New Mexico,0.85,0.15,2013
Alabama,0.85,0.15,2013
Georgia,0.84,0.16,2013
Ohio,0.76,0.24,2013
Rhode Island,0.88,0.12,2013
Utah,0.76,0.24,2013
Florida,0.88,0.12,2013
Virginia,0.84,0.16,2013
New Hampshire,0.8,0.2,2013
Delaware,0.83,0.17,2013
Kentucky,0.89,0.11,2013
Maryland,0.86,0.14,2013
New Jersey,0.86,0.14,2013
Vermont,0.89,0.11,2013
Connecticut,0.86,0.14,2013
Hawaii,0.81,0.19,2013
Maine,0.82,0.18,2013
Oregon,0.8,0.2,2013
Wisconsin,0.71,0.29,2014
Montana,0.39,0.61,2014
Minnesota,0.73,0.27,2014
Illinois,0.67,0.33,2014
Nebraska,0.53,0.47,2014
Nevada,0.66,0.34,2014
Iowa,0.54,0.46,2014
Louisiana,0.74,0.26,2014
North Dakota,0.69,0.31,2014
Colorado,0.53,0.47,2014
Rhode Island,0.77,0.23,2014
Oklahoma,0.66,0.34,2014
District of Columbia,0.62,0.38,2014
South Carolina,0.74,0.26,2014
West Virginia,0.85,0.15,2014
Wyoming,0.53,0.47,2014
Washington,0.58,0.42,2014
Missouri,0.67,0.33,2014
Michigan,0.7,0.3,2014
Arkansas,0.81,0.19,2014
Alaska,0.74,0.26,2014
Kentucky,0.73,0.27,2014
Arizona,0.62,0.38,2014
Hawaii,0.57,0.43,2014
Tennessee,0.75,0.25,2014
New Hampshire,0.74,0.26,2014
Mississippi,0.8,0.2,2014
Idaho,0.65,0.35,2014
South Dakota,0.72,0.28,2014
Pennsylvania,0.7,0.3,2014
Alabama,0.79,0.21,2014
Maine,0.85,0.15,2014
New York,0.73,0.27,2014
Utah,0.67,0.33,2014
Kansas,0.68,0.32,2014
Indiana,0.71,0.29,2014
California,0.59,0.41,2014
Texas,0.69,0.31,2014
New Mexico,0.69,0.31,2014
New Jersey,0.78,0.22,2014
Massachusetts,0.69,0.31,2014
Ohio,0.61,0.39,2014
Florida,0.73,0.27,2014
North Carolina,0.72,0.28,2014
Georgia,0.71,0.29,2014
Delaware,0.71,0.29,2014
Connecticut,0.73,0.27,2014
Maryland,0.71,0.29,2014
Virginia,0.74,0.26,2014
Vermont,0.63,0.37,2014
Oregon,0.66,0.34,2014
Wisconsin,0.6,0.4,2015
Montana,0.37,0.63,2015
Minnesota,0.65,0.35,2015
North Dakota,0.56,0.44,2015
Iowa,0.46,0.54,2015
South Dakota,0.62,0.38,2015
Nebraska,0.51,0.49,2015
Illinois,0.57,0.43,2015
Wyoming,0.49,0.51,2015
Washington,0.47,0.53,2015
Mississippi,0.77,0.23,2015
Louisiana,0.69,0.31,2015
Colorado,0.49,0.51,2015
Michigan,0.55,0.45,2015
Nevada,0.58,0.42,2015
Alaska,0.5,0.5,2015
Arkansas,0.69,0.31,2015
District of Columbia,0.56,0.44,2015
Arizona,0.54,0.46,2015
Idaho,0.52,0.48,2015
Tennessee,0.67,0.33,2015
Oklahoma,0.6,0.4,2015
Indiana,0.65,0.35,2015
Alabama,0.67,0.33,2015
Missouri,0.59,0.41,2015
West Virginia,0.68,0.32,2015
Kentucky,0.66,0.34,2015
California,0.53,0.47,2015
Texas,0.6,0.4,2015
New York,0.62,0.38,2015
South Carolina,0.63,0.37,2015
Ohio,0.54,0.46,2015
Maine,0.68,0.32,2015
Rhode Island,0.64,0.36,2015
Florida,0.59,0.41,2015
Georgia,0.59,0.41,2015
Kansas,0.58,0.42,2015
Hawaii,0.53,0.47,2015
North Carolina,0.63,0.37,2015
Connecticut,0.6,0.4,2015
New Mexico,0.63,0.37,2015
Massachusetts,0.6,0.4,2015
Vermont,0.55,0.45,2015
Pennsylvania,0.54,0.46,2015
Delaware,0.6,0.4,2015
Oregon,0.56,0.44,2015
New Jersey,0.62,0.38,2015
Utah,0.57,0.43,2015
Maryland,0.57,0.43,2015
New Hampshire,0.52,0.48,2015
Virginia,0.62,0.38,2015
Wisconsin,0.64,0.36,2016
Nebraska,0.42,0.58,2016
Minnesota,0.57,0.43,2016
Iowa,0.42,0.58,2016
South Dakota,0.56,0.44,2016
Illinois,0.54,0.46,2016
Louisiana,0.7,0.3,2016
Nevada,0.6,0.4,2016
Colorado,0.47,0.53,2016
Washington,0.54,0.46,2016
Montana,0.5,0.5,2016
Michigan,0.52,0.48,2016
North Dakota,0.5,0.5,2016
District of Columbia,0.45,0.55,2016
Arizona,0.57,0.43,2016
Idaho,0.54,0.46,2016
Oregon,0.55,0.45,2016
Wyoming,0.51,0.49,2016
Missouri,0.56,0.44,2016
Mississippi,0.74,0.26,2016
Alaska,0.49,0.51,2016
Kansas,0.57,0.43,2016
Indiana,0.56,0.44,2016
Kentucky,0.68,0.32,2016
Alabama,0.66,0.34,2016
New Hampshire,0.6,0.4,2016
South Carolina,0.59,0.41,2016
Tennessee,0.61,0.39,2016
Ohio,0.49,0.51,2016
Massachusetts,0.56,0.44,2016
Vermont,0.6,0.4,2016
Texas,0.57,0.43,2016
California,0.52,0.48,2016
Oklahoma,0.61,0.39,2016
New Mexico,0.57,0.43,2016
Georgia,0.52,0.48,2016
West Virginia,0.68,0.32,2016
Florida,0.56,0.44,2016
New York,0.53,0.47,2016
Utah,0.51,0.49,2016
Pennsylvania,0.51,0.49,2016
Maine,0.57,0.43,2016
Connecticut,0.53,0.47,2016
North Carolina,0.55,0.45,2016
Delaware,0.55,0.45,2016
Virginia,0.53,0.47,2016
Arkansas,0.62,0.38,2016
Maryland,0.52,0.48,2016
New Jersey,0.51,0.49,2016
Rhode Island,0.52,0.48,2016
Hawaii,0.53,0.47,2016
Wisconsin,0.63,0.37,2017
Minnesota,0.61,0.39,2017
North Dakota,0.53,0.47,2017
Nebraska,0.49,0.51,2017
South Dakota,0.53,0.47,2017
Nevada,0.66,0.34,2017
Illinois,0.58,0.42,2017
Iowa,0.51,0.49,2017
Wyoming,0.51,0.49,2017
Louisiana,0.7,0.3,2017
Montana,0.52,0.48,2017
Michigan,0.54,0.46,2017
Oregon,0.56,0.44,2017
Colorado,0.48,0.52,2017
Washington,0.51,0.49,2017
Idaho,0.59,0.41,2017
Missouri,0.6,0.4,2017
Maine,0.64,0.36,2017
Kansas,0.56,0.44,2017
Alaska,0.5,0.5,2017
Arizona,0.57,0.43,2017
New Mexico,0.61,0.39,2017
South Carolina,0.6,0.4,2017
Mississippi,0.71,0.29,2017
Arkansas,0.67,0.33,2017
Vermont,0.45,0.55,2017
District of Columbia,0.48,0.52,2017
Tennessee,0.65,0.35,2017
Indiana,0.6,0.4,2017
Delaware,0.6,0.4,2017
Ohio,0.55,0.45,2017
Rhode Island,0.57,0.43,2017
Oklahoma,0.62,0.38,2017
Kentucky,0.68,0.32,2017
New Hampshire,0.54,0.46,2017
North Carolina,0.57,0.43,2017
Florida,0.57,0.43,2017
West Virginia,0.7,0.3,2017
Pennsylvania,0.51,0.49,2017
Massachusetts,0.55,0.45,2017
New York,0.52,0.48,2017
Alabama,0.63,0.37,2017
Texas,0.58,0.42,2017
California,0.53,0.47,2017
Connecticut,0.53,0.47,2017
Georgia,0.54,0.46,2017
Utah,0.53,0.47,2017
Virginia,0.53,0.47,2017
New Jersey,0.5,0.5,2017
Maryland,0.52,0.48,2017
Hawaii,0.51,0.49,2017
Wisconsin,0.68,0.32,2018
Minnesota,0.65,0.35,2018
North Dakota,0.71,0.29,2018
Nebraska,0.55,0.45,2018
Louisiana,0.72,0.28,2018
South Dakota,0.62,0.38,2018
Nevada,0.67,0.33,2018
Montana,0.55,0.45,2018
Illinois,0.61,0.39,2018
Iowa,0.54,0.46,2018
Oregon,0.6,0.4,2018
Michigan,0.56,0.44,2018
Wyoming,0.51,0.49,2018
Idaho,0.63,0.37,2018
New Mexico,0.65,0.35,2018
Alaska,0.57,0.43,2018
Washington,0.57,0.43,2018
Colorado,0.55,0.45,2018
Tennessee,0.68,0.32,2018
Arizona,0.61,0.39,2018
Indiana,0.62,0.38,2018
Maine,0.6,0.4,2018
Arkansas,0.73,0.27,2018
Ohio,0.59,0.41,2018
Missouri,0.58,0.42,2018
Kansas,0.57,0.43,2018
Mississippi,0.75,0.25,2018
South Carolina,0.61,0.39,2018
Texas,0.61,0.39,2018
Oklahoma,0.62,0.38,2018
Hawaii,0.59,0.41,2018
New Hampshire,0.56,0.44,2018
Florida,0.58,0.42,2018
Massachusetts,0.59,0.41,2018
Vermont,0.5,0.5,2018
West Virginia,0.71,0.29,2018
Pennsylvania,0.53,0.47,2018
New York,0.55,0.45,2018
California,0.54,0.46,2018
North Carolina,0.58,0.42,2018
Alabama,0.63,0.37,2018
District of Columbia,0.48,0.52,2018
Virginia,0.53,0.47,2018
Kentucky,0.7,0.3,2018
Maryland,0.54,0.46,2018
Georgia,0.57,0.43,2018
Rhode Island,0.58,0.42,2018
Delaware,0.45,0.55,2018
Utah,0.5,0.5,2018
Connecticut,0.5,0.5,2018
New Jersey,0.53,0.47,2018
Wisconsin,0.72,0.28,2019
Minnesota,0.68,0.32,2019
Wyoming,0.6,0.4,2019
Nebraska,0.6,0.4,2019
Louisiana,0.74,0.26,2019
North Dakota,0.59,0.41,2019
Vermont,0.63,0.37,2019
Colorado,0.64,0.36,2019
Iowa,0.62,0.38,2019
South Dakota,0.68,0.32,2019
Illinois,0.65,0.35,2019
Nevada,0.69,0.31,2019
South Carolina,0.7,0.3,2019
Idaho,0.61,0.39,2019
Maine,0.72,0.28,2019
Washington,0.62,0.38,2019
Oregon,0.58,0.42,2019
Michigan,0.62,0.38,2019
Missouri,0.65,0.35,2019
Alaska,0.53,0.47,2019
Montana,0.56,0.44,2019
Arkansas,0.73,0.27,2019
Ohio,0.62,0.38,2019
Tennessee,0.7,0.3,2019
Arizona,0.6,0.4,2019
New Mexico,0.68,0.32,2019
Indiana,0.65,0.35,2019
Florida,0.62,0.38,2019
New Hampshire,0.6,0.4,2019
Texas,0.64,0.36,2019
Pennsylvania,0.59,0.41,2019
Georgia,0.63,0.37,2019
Hawaii,0.58,0.42,2019
Massachusetts,0.6,0.4,2019
North Carolina,0.6,0.4,2019
Mississippi,0.69,0.31,2019
Utah,0.55,0.45,2019
Delaware,0.55,0.45,2019
Virginia,0.57,0.43,2019
New York,0.6,0.4,2019
California,0.59,0.41,2019
Kansas,0.56,0.44,2019
Oklahoma,0.61,0.39,2019
Alabama,0.6,0.4,2019
Maryland,0.56,0.44,2019
New Jersey,0.58,0.42,2019
Connecticut,0.55,0.45,2019
District of Columbia,0.59,0.41,2019
Rhode Island,0.59,0.41,2019
West Virginia,0.59,0.41,2019
Kentucky,0.6,0.4,2019
